Frame,MSE
542,0.01852559
543,0.0185677
544,0.01859652
545,0.01859962
546,0.01858324
547,0.01814958
548,0.01803422
549,0.01786662
550,0.01786235
551,0.01790739
552,0.01782645
553,0.01772636
554,0.01761549
555,0.01770335
556,0.01801785
557,0.01779522
558,0.01825944
559,0.0182208
560,0.01812924
561,0.01816338
562,0.01766381
563,0.01781126
564,0.01764149
565,0.01733122
566,0.01737755
567,0.01738196
568,0.01721942
569,0.01716851
570,0.01677745
571,0.01671663
572,0.01749457
573,0.01737049
574,0.01743061
575,0.01724529
576,0.01685839
577,0.01677282
578,0.01656638
579,0.01658245
580,0.0164822
581,0.01630215
582,0.01614287
583,0.01615637
584,0.0160446
585,0.01608024
586,0.01582737
587,0.01569327
588,0.01568415
589,0.01569522
590,0.01565325
591,0.01567971
592,0.01566014
593,0.01577578
594,0.01595552
595,0.01596159
596,0.01576312
597,0.01584179
598,0.01648833
599,0.01593738
600,0.01749343
601,0.0174953
602,0.0174268
603,0.01729356
604,0.01724068
605,0.01748418
606,0.01766949
607,0.01929391
608,0.0193115
609,0.0191412
610,0.01905026
611,0.02064301
612,0.02065743
613,0.02062627
614,0.01957137
615,0.01911603
616,0.01899606
617,0.01909563
618,0.01928647
619,0.01961893
620,0.0195855
621,0.01943838
622,0.01955085
623,0.01939656
624,0.01953809
625,0.01876881
626,0.01882415
627,0.01897792
628,0.01915783
629,0.01924475
630,0.01944951
631,0.01937915
632,0.0181151
633,0.01815738
634,0.01833054
635,0.01840195
636,0.01843771
637,0.0187079
638,0.01878438
639,0.01597282
640,0.0160177
641,0.01604473
642,0.01610241
643,0.01617043
644,0.01622401
645,0.01628852
646,0.01430679
647,0.01445395
648,0.01449465
649,0.01455795
650,0.01482996
651,0.01482606
652,0.01492058
653,0.01433425
654,0.01438332
655,0.01448854
656,0.01454079
657,0.01461176
658,0.01470986
659,0.01484481
660,0.01392007
661,0.01410399
662,0.01380174
663,0.01392244
664,0.01398335
665,0.014101
666,0.01420121
667,0.01360034
668,0.01379002
669,0.01398208
670,0.01420852
671,0.01441359
672,0.01444929
673,0.01435983
674,0.01418222
675,0.01381976
676,0.0134791
677,0.008024745
678,0.007968755
679,0.008053256
680,0.00798389
681,0.008061478
682,0.008003018
683,0.008043421
684,0.007992825
685,0.008017219
686,0.00802003
687,0.008052976
688,0.00805074
689,0.007944422
690,0.007963692
691,0.008004121
692,0.007975351
693,0.008020805
694,0.008057918
695,0.007774654
696,0.007645078
697,0.007444813
698,0.007570485
699,0.007562512
700,0.007587583
701,0.007552299
702,0.0072947
703,0.007505654
704,0.007548307
705,0.00749643
706,0.007577028
707,0.007235955
708,0.007284341
709,0.007098753
710,0.007045406
711,0.007095205
712,0.007089776
713,0.007170114
714,0.007184365
715,0.007087748
716,0.007156865
717,0.007225494
718,0.007266123
719,0.007290712
720,0.007264065
721,0.007367181
722,0.007386285
723,0.007338724
724,0.007405834
725,0.007415575
726,0.007127339
727,0.00745089
728,0.007537956
729,0.007568931
730,0.00769585
731,0.007717366
732,0.007666557
733,0.007716903
734,0.007725152
735,0.007782568
736,0.007798051
737,0.007809457
738,0.007840079
739,0.007782777
740,0.007787873
741,0.00777931
742,0.0079219
743,0.007979345
744,0.00798075
745,0.007972614
746,0.00787683
747,0.007890063
748,0.00783595
749,0.007941565
750,0.007890694
751,0.007509086
752,0.007636986
753,0.007636148
754,0.007656712
755,0.007484416
756,0.007472137
757,0.007486592
758,0.007359947
759,0.007362164
760,0.007410869
761,0.007224086
762,0.007234968
763,0.007233107
764,0.007200684
765,0.007237088
766,0.00729099
767,0.007266293
768,0.007282326
769,0.007266462
770,0.007225179
771,0.007342502
772,0.007202177
773,0.007225007
774,0.0072864
775,0.007431519
776,0.007465784
777,0.007414913
778,0.007408755
779,0.007635303
780,0.007675613
781,0.007828451
782,0.007790375
783,0.007774329
784,0.007835816
785,0.007786493
786,0.007813852
787,0.007818854
788,0.007864551
789,0.007857741
790,0.007930683
791,0.007935246
792,0.008012637
793,0.008001428
794,0.007978539
795,0.008014129
796,0.007824688
797,0.007856162
798,0.007898772
799,0.007935717
800,0.007909508
801,0.007894343
802,0.007974169
803,0.008140135
804,0.008149124
805,0.008200819
806,0.00826838
807,0.008291481
808,0.008260419
809,0.008260848
810,0.008267993
811,0.00828054
812,0.008289488
813,0.008298879
814,0.00807772
815,0.008253898
816,0.008210729
817,0.008193863
818,0.008216888
819,0.008377595
820,0.008347576
821,0.008523792
822,0.008508255
823,0.008644253
824,0.008764389
825,0.008849158
826,0.008905293
827,0.009126223
828,0.009656403
829,0.009719479
830,0.00972962
831,0.00982553
832,0.009891008
833,0.009985874
834,0.009985993
835,0.01043926
836,0.01043529
837,0.01051382
838,0.01056818
839,0.01061908
840,0.01065121
841,0.01073452
842,0.01128178
843,0.01124311
844,0.01136392
845,0.01142135
846,0.01158481
847,0.01168026
848,0.01161991
849,0.01219429
850,0.01220505
851,0.01220583
852,0.01224417
853,0.01219403
854,0.0121984
855,0.01212845
856,0.0124136
857,0.01242346
858,0.01238618
859,0.01249439
860,0.01259303
861,0.01251668
862,0.01243807
863,0.01272243
864,0.01268473
865,0.01282575
866,0.01288146
867,0.01310976
868,0.01331033
869,0.0136095
870,0.01415614
871,0.01399207
872,0.01414548
873,0.01449605
874,0.0144659
875,0.01445612
876,0.01461583
877,0.01397855
878,0.01398266
879,0.01385762
880,0.01384492
881,0.01358233
882,0.01362797
883,0.01308304
884,0.0128649
885,0.01284548
886,0.01223175
887,0.01205438
888,0.0121151
889,0.01190613
890,0.01205392
891,0.01103871
892,0.01127827
893,0.0111096
894,0.01116824
895,0.01100107
896,0.01118789
897,0.01120353
898,0.01066372
899,0.0106632
900,0.01050799
901,0.01034491
902,0.01023369
903,0.01015114
904,0.01009564
905,0.009394443
906,0.009398104
907,0.009330417
908,0.009324303
909,0.009237695
910,0.00907893
